               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,            0.035498,            0.033688,           0.0042075,               0.689,             0.61575,             0.66343,             0.35088,            0.045203,            0.026962,            0.013059,            0.006865,            0.006865,            0.006865
                  97,            0.036088,            0.035318,           0.0045639,             0.70135,             0.63378,             0.67069,             0.34576,            0.044607,            0.027328,            0.014626,            0.006832,            0.006832,            0.006832
                  98,             0.03513,            0.033026,           0.0046257,              0.6732,              0.6483,             0.67717,             0.33955,            0.044066,            0.027686,            0.010524,            0.006799,            0.006799,            0.006799
                  99,             0.03497,             0.03359,           0.0040617,             0.67345,             0.62681,             0.65769,             0.34308,            0.045092,            0.028251,            0.011381,            0.006766,            0.006766,            0.006766
                 100,            0.035588,            0.035673,           0.0046949,             0.67702,             0.62558,              0.6596,             0.33419,            0.046973,            0.027397,            0.011029,            0.006733,            0.006733,            0.006733
                 101,            0.034819,            0.033394,           0.0045648,             0.68044,             0.64045,             0.66958,             0.34024,            0.046665,            0.028167,            0.014116,              0.0067,              0.0067,              0.0067
                 102,            0.036328,            0.035611,            0.004499,             0.70791,             0.64457,             0.67983,             0.35088,            0.044806,            0.027376,            0.013692,            0.006667,            0.006667,            0.006667
                 103,            0.035495,            0.033644,           0.0052935,             0.68624,             0.62406,             0.67512,             0.35614,            0.045487,            0.028147,            0.010566,            0.006634,            0.006634,            0.006634
                 104,            0.036045,            0.032532,           0.0045859,             0.66376,             0.67339,             0.68245,             0.35221,            0.045472,            0.027651,           0.0095966,            0.006601,            0.006601,            0.006601
                 105,            0.034905,            0.032825,           0.0046722,             0.67538,             0.65418,             0.66881,             0.35405,            0.044568,            0.027729,            0.011757,            0.006568,            0.006568,            0.006568
                 106,            0.035606,            0.035426,           0.0039727,             0.64822,             0.63431,             0.65197,             0.33419,            0.045484,            0.028234,            0.012424,            0.006535,            0.006535,            0.006535
                 107,            0.035186,            0.033213,           0.0040649,             0.66272,             0.61156,             0.65031,             0.32414,            0.045442,             0.02883,            0.011744,            0.006502,            0.006502,            0.006502
                 108,            0.035096,            0.033016,           0.0038611,             0.69319,             0.63621,             0.67141,              0.3288,            0.045016,            0.028122,            0.010209,            0.006469,            0.006469,            0.006469
                 109,            0.035039,            0.032638,           0.0045168,             0.70758,             0.59956,             0.66027,             0.32063,            0.045877,            0.028549,           0.0091896,            0.006436,            0.006436,            0.006436
                 110,            0.034487,            0.034231,           0.0050182,             0.66611,             0.63511,             0.64261,             0.33749,            0.045799,            0.027818,            0.017634,            0.006403,            0.006403,            0.006403
                 111,            0.035096,            0.033467,           0.0044574,             0.59959,             0.65479,             0.65528,             0.32397,            0.045284,            0.027743,             0.01269,             0.00637,             0.00637,             0.00637
                 112,            0.034454,            0.032386,            0.004592,              0.6274,              0.6635,              0.6601,             0.34055,            0.045922,            0.028307,            0.015773,            0.006337,            0.006337,            0.006337
                 113,            0.034789,            0.034676,            0.004248,              0.6392,             0.60568,             0.64885,             0.32133,            0.046021,            0.027845,            0.012565,            0.006304,            0.006304,            0.006304
                 114,            0.034788,            0.033502,           0.0037446,             0.66225,             0.64787,             0.67037,             0.34667,            0.045961,            0.028608,           0.0094712,            0.006271,            0.006271,            0.006271
                 115,            0.034413,            0.033921,           0.0039705,             0.60855,             0.61834,             0.64047,             0.31569,            0.046732,            0.029075,            0.018984,            0.006238,            0.006238,            0.006238
                 116,            0.033783,            0.032079,           0.0045732,             0.63018,             0.62264,             0.65158,             0.33575,            0.046072,            0.028712,            0.012142,            0.006205,            0.006205,            0.006205
                 117,            0.035243,            0.034878,           0.0043659,             0.72236,             0.62467,             0.66929,             0.34206,            0.045784,            0.028363,            0.011492,            0.006172,            0.006172,            0.006172
                 118,            0.035215,            0.034485,           0.0044149,             0.68204,             0.63534,             0.67004,             0.34093,            0.044608,            0.027677,            0.011186,            0.006139,            0.006139,            0.006139
                 119,            0.033873,            0.032933,           0.0046675,             0.67384,              0.6003,             0.66351,             0.32027,            0.045239,            0.028549,            0.011404,            0.006106,            0.006106,            0.006106
                 120,            0.034368,            0.033459,           0.0039255,               0.677,             0.62967,              0.6671,             0.33186,            0.045284,            0.028485,            0.011622,            0.006073,            0.006073,            0.006073
                 121,            0.033913,            0.033944,           0.0042277,             0.63974,             0.62602,             0.65724,             0.32867,            0.044867,            0.027846,            0.010706,             0.00604,             0.00604,             0.00604
                 122,            0.034016,            0.033118,           0.0040551,             0.63256,             0.64861,             0.65726,             0.33649,            0.045533,            0.028237,            0.010143,            0.006007,            0.006007,            0.006007
                 123,            0.033535,            0.032522,           0.0033624,             0.65543,             0.62947,             0.65876,             0.34208,            0.046606,            0.028698,            0.014342,            0.005974,            0.005974,            0.005974
                 124,            0.035633,            0.034942,           0.0036283,             0.61766,             0.67423,             0.65517,             0.33209,            0.045657,             0.02923,            0.013388,            0.005941,            0.005941,            0.005941
                 125,            0.034734,             0.03294,           0.0044147,             0.64665,             0.65299,             0.65517,             0.33974,            0.046191,            0.028249,             0.01278,            0.005908,            0.005908,            0.005908
                 126,            0.032946,            0.031746,           0.0042665,              0.6619,             0.61743,             0.63548,             0.32551,            0.046098,            0.028479,            0.015974,            0.005875,            0.005875,            0.005875
                 127,            0.034228,            0.035357,           0.0048373,             0.66935,             0.60537,             0.63798,              0.3193,            0.044819,            0.027872,            0.014438,            0.005842,            0.005842,            0.005842
                 128,            0.033225,            0.031932,           0.0041346,              0.6936,             0.62225,             0.66285,             0.34124,            0.045716,            0.028812,           0.0098206,            0.005809,            0.005809,            0.005809
                 129,            0.034032,            0.034341,           0.0038163,             0.67478,             0.60978,             0.64166,             0.32204,            0.045626,            0.029125,            0.011536,            0.005776,            0.005776,            0.005776
                 130,            0.033547,            0.032129,           0.0043151,              0.6495,             0.64005,              0.6608,             0.33714,            0.045922,            0.028384,            0.010164,            0.005743,            0.005743,            0.005743
                 131,            0.033557,            0.032553,           0.0039694,             0.66114,             0.66151,              0.6799,             0.33641,            0.044918,            0.028044,            0.011575,             0.00571,             0.00571,             0.00571
                 132,             0.03375,             0.03194,           0.0038805,             0.61473,             0.68901,             0.65578,             0.30254,            0.045083,            0.028534,            0.010494,            0.005677,            0.005677,            0.005677
                 133,            0.033457,             0.03144,           0.0034281,             0.59952,             0.66849,             0.64463,             0.33078,            0.044816,            0.027928,            0.016637,            0.005644,            0.005644,            0.005644
                 134,            0.032882,            0.031418,           0.0037578,             0.63652,             0.65043,              0.6709,             0.33867,            0.046039,            0.029103,            0.010322,            0.005611,            0.005611,            0.005611
                 135,            0.032683,            0.033122,           0.0032695,             0.64437,             0.65078,             0.66544,             0.34067,            0.045411,            0.028749,            0.015715,            0.005578,            0.005578,            0.005578
                 136,            0.032991,             0.03244,           0.0036369,             0.65681,             0.65901,             0.66181,             0.33464,            0.044747,            0.028114,            0.011662,            0.005545,            0.005545,            0.005545
                 137,            0.033411,            0.030628,            0.004564,             0.69462,              0.6173,             0.66169,             0.32682,             0.04613,            0.029048,           0.0079536,            0.005512,            0.005512,            0.005512
                 138,            0.032951,            0.032452,           0.0035871,             0.65824,             0.62629,             0.65288,             0.32999,            0.045511,            0.028928,            0.014449,            0.005479,            0.005479,            0.005479
                 139,            0.032904,            0.031491,           0.0037655,             0.71161,             0.61235,             0.67077,             0.34344,            0.045693,            0.029159,            0.010823,            0.005446,            0.005446,            0.005446
                 140,            0.033024,            0.031828,            0.003398,             0.68254,             0.63298,             0.67177,             0.32781,            0.044906,            0.028612,            0.011425,            0.005413,            0.005413,            0.005413
                 141,            0.031812,            0.031855,           0.0032686,             0.66722,             0.60786,             0.65194,             0.33417,             0.04557,            0.029025,            0.014345,             0.00538,             0.00538,             0.00538
                 142,            0.033031,            0.032023,           0.0034937,             0.64872,             0.65762,             0.66104,              0.3193,            0.045289,            0.028936,            0.010866,            0.005347,            0.005347,            0.005347
                 143,            0.032833,              0.0319,           0.0034644,             0.66146,             0.65814,             0.66341,             0.34376,            0.045019,             0.02855,           0.0099975,            0.005314,            0.005314,            0.005314
                 144,            0.033293,            0.033031,           0.0030032,              0.6912,             0.64902,             0.68132,              0.3476,             0.04685,             0.02838,           0.0086777,            0.005281,            0.005281,            0.005281
                 145,            0.033013,            0.031987,            0.003245,             0.65146,             0.65676,             0.67521,             0.35522,            0.044766,            0.028436,           0.0085305,            0.005248,            0.005248,            0.005248
                 146,            0.032731,            0.030022,           0.0033753,             0.70351,             0.57217,             0.65041,             0.32993,            0.046575,            0.029399,           0.0092735,            0.005215,            0.005215,            0.005215
                 147,            0.031676,            0.031145,           0.0032159,             0.64047,             0.67229,             0.66825,             0.33894,             0.04628,             0.02878,             0.01248,            0.005182,            0.005182,            0.005182
                 148,            0.032303,            0.030829,           0.0033191,             0.65314,             0.67482,             0.68865,             0.34292,             0.04642,            0.029282,            0.010422,            0.005149,            0.005149,            0.005149
                 149,            0.032142,            0.030994,           0.0033338,             0.68654,             0.65727,             0.68971,             0.35132,            0.045378,            0.029547,            0.010053,            0.005116,            0.005116,            0.005116
                 150,            0.032758,            0.030407,           0.0035046,             0.71665,             0.63913,             0.69371,             0.34713,            0.045944,            0.028931,           0.0092753,            0.005083,            0.005083,            0.005083
                 151,            0.032284,            0.032154,           0.0028796,             0.68083,             0.68844,             0.70961,             0.36332,            0.045107,            0.028081,             0.00856,             0.00505,             0.00505,             0.00505
                 152,            0.032017,             0.03095,           0.0029751,             0.66363,             0.64635,             0.66361,             0.33799,            0.045697,            0.029635,            0.012803,            0.005017,            0.005017,            0.005017
                 153,            0.031818,            0.029525,           0.0031946,             0.64022,             0.66461,             0.68254,             0.34273,             0.04521,            0.029459,           0.0098275,            0.004984,            0.004984,            0.004984
                 154,            0.032231,            0.032387,           0.0032988,             0.69054,              0.6164,             0.64896,             0.33714,            0.045093,            0.029154,            0.014181,            0.004951,            0.004951,            0.004951
                 155,            0.031835,            0.030784,           0.0027573,             0.72203,             0.61637,             0.67683,             0.33751,            0.046216,            0.029487,           0.0075977,            0.004918,            0.004918,            0.004918
                 156,            0.031655,            0.031696,           0.0032403,              0.6381,             0.70151,             0.70004,             0.35561,            0.044676,            0.028821,           0.0077761,            0.004885,            0.004885,            0.004885
                 157,            0.031512,            0.029823,           0.0031372,             0.66066,             0.67684,             0.67654,             0.34784,            0.045302,            0.028888,             0.01182,            0.004852,            0.004852,            0.004852
                 158,            0.030712,            0.030567,           0.0036443,              0.7141,             0.63185,             0.68695,             0.34701,            0.044508,            0.028692,            0.011887,            0.004819,            0.004819,            0.004819
                 159,            0.031314,            0.031621,           0.0034139,             0.65159,              0.6745,             0.68023,             0.34411,            0.045089,            0.029765,            0.011039,            0.004786,            0.004786,            0.004786
                 160,            0.031521,            0.030943,           0.0034682,             0.67558,             0.62131,             0.65624,             0.34043,            0.045421,            0.029679,            0.012652,            0.004753,            0.004753,            0.004753
